GRABLOX  2.1 generated gravity data file
 
     5335  1  2  3  6  0
 
# columns: x, y, h, g comp, g base, g meas
 
   1043.393        23.19200       -.1000000         23.21902        19.97997        81.78702    
   1061.618        23.19200       -.1000000         23.56505        19.71399        78.44934    
   1079.844        23.19200       -.1000000         18.93093        19.44798        75.02936    
   1098.069        23.19200       -.1000000         13.39102        19.18200        65.01655    
   1116.294        23.19200       -.1000000         9.908794        18.91601        65.65533    
   1134.519        23.19200       -.1000000         4.864644        18.65002        59.82292    
   1152.744        23.19200       -.1000000        -2.022055        18.38403        51.45296    
   1170.970        23.19200       -.1000000        -8.025120        18.11803        43.83286    
   1189.195        23.19200       -.1000000        -11.33370        17.85204        43.56524    
   1207.420        23.19200       -.1000000        -13.69995        17.58606        45.96291    
   1225.645        23.19200       -.1000000        -14.95997        17.32007        40.87099    
   1243.870        23.19200       -.1000000        -13.18767        17.05408        42.93165    
   1262.096        23.19200       -.1000000        -9.637936        16.78808        48.81227    
   1280.321        23.19200       -.1000000        -6.081276        16.52209        46.48716    
   1298.546        23.19200       -.1000000        -2.336966        16.25610        52.34189    
   1316.771        23.19200       -.1000000         1.848688        15.99012        55.84144    
   1334.997        23.19200       -.1000000         3.259987        15.72412        62.92082    
   1353.222        23.19200       -.1000000        -.8614426        15.45813        49.57454    
   1371.447        23.19200       -.1000000        -3.776190        15.19214        52.33333    
   1389.672        23.19200       -.1000000        -3.760349        14.92615        47.11734    
   1407.897        23.19200       -.1000000        -4.825025        14.66016        53.72968    
   1426.123        23.19200       -.1000000        -11.81697        14.39416        40.90999    
   1444.348        23.19200       -.1000000        -17.09819        14.12817        33.61725    
   1462.573        23.19200       -.1000000        -14.31778        13.86219        35.99690    
   1480.798        23.19200       -.1000000        -6.105414        13.59620        47.70696    
   1499.023        23.19200       -.1000000         1.483090        13.33021        63.84326    
   1517.249        23.19200       -.1000000        -1.630068        13.06421        54.43113    
   1535.474        23.19200       -.1000000        -8.395223        12.79822        39.66644    
   1553.699        23.19200       -.1000000        -8.523477        12.53224        46.34209    
   1571.924        23.19200       -.1000000        -5.029314        12.26625        51.47667    
   1590.149        23.19200       -.1000000        -2.194768        12.00026        53.63336    
   1608.375        23.19200       -.1000000         3.434825        11.73426        53.46122    
   1626.600        23.19200       -.1000000         13.28974        11.46827        76.42250    
   1644.825        23.19200       -.1000000         17.13162        11.20228        89.47440    
   1663.050        23.19200       -.1000000         10.68533        10.93629        75.33232    
   1681.275        23.19200       -.1000000        -1.251879        10.67031        55.62194    
   1699.501        23.19200       -.1000000        -11.81354        10.40431        43.71385    
   1717.726        23.19200       -.1000000        -19.20724        10.13832        41.43083    
   1735.951        23.19200       -.1000000        -24.70712        9.872331        32.03455    
   1754.176        23.19200       -.1000000        -26.78329        9.606343        32.03494    
   4.559000        41.74500       -.1000000         126.3514        36.21843        188.1241    
   22.79400        41.74500       -.1000000         125.5976        35.95230        184.2691    
   41.02900        41.74500       -.1000000         121.9429        35.68616        181.0083    
   59.26500        41.74500       -.1000000         117.0796        35.42001        170.6164    
   77.50000        41.74500       -.1000000         110.9237        35.15388        170.3174    
   95.73500        41.74500       -.1000000         101.6604        34.88775        166.2435    
   113.9700        41.74500       -.1000000         86.87173        34.62162        149.4288    
   132.2050        41.74500       -.1000000         67.89367        34.35548        120.5139    
   150.4410        41.74500       -.1000000         53.35836        34.08933        102.8157    
   168.6760        41.74500       -.1000000         44.31902        33.82320        96.79930    
   186.9110        41.74500       -.1000000         36.55774        33.55707        83.57368    
   205.1460        41.74500       -.1000000         32.64089        33.29093        86.38582    
   223.3820        41.74500       -.1000000         27.08412        33.02479        92.24940    
   241.6170        41.74500       -.1000000         16.28514        32.75865        69.41100    
   259.8520        41.74500       -.1000000         6.273863        32.49252        59.47527    
   278.0870        41.74500       -.1000000        -2.671337        32.22639        52.52596    
