longitude    latitude     depth_km        density_kgm3   
131.25000    -11.00000    0.048           1023.14        
131.33333    -11.00000    0.000           1023.18        
131.33333    -11.00000    0.052           1023.18        
131.41667    -11.00000    0.000           1023.24        
131.41667    -11.00000    0.059           1023.24        
131.50000    -11.00000    0.000           1023.24        
131.50000    -11.00000    0.059           1023.24        
131.58333    -11.00000    0.000           1023.26        
131.58333    -11.00000    0.061           1023.26        
131.66667    -11.00000    0.000           1023.23        
131.66667    -11.00000    0.058           1023.23        
131.75000    -11.00000    0.000           1023.23        
131.75000    -11.00000    0.058           1023.23        
131.83333    -11.00000    0.000           1023.19        
131.83333    -11.00000    0.054           1023.19        
131.91667    -11.00000    0.000           1023.08        
131.91667    -11.00000    0.042           1023.08        
132.00000    -11.00000    0.000           1023.08        
132.00000    -11.00000    0.042           1023.08        
132.08333    -11.00000    0.000           1023.04        
132.08333    -11.00000    0.037           1023.04        
132.16667    -11.00000    0.000           1022.94        
132.16667    -11.00000    0.026           1022.94        
132.25000    -11.00000    0.000           1022.94        
132.25000    -11.00000    0.026           1022.94        
132.33333    -11.00000    0.000           1022.94        
132.33333    -11.00000    0.026           1022.94        
132.41667    -11.00000    0.000           1022.94        
132.41667    -11.00000    0.027           1022.94        
132.50000    -11.00000    0.000           1022.94        
132.50000    -11.00000    0.027           1022.94        
132.58333    -11.00000    0.000           1022.88        
132.58333    -11.00000    0.020           1022.88        
132.66667    -11.00000    0.000           1023.09        
132.66667    -11.00000    0.043           1023.09        
132.75000    -11.00000    0.000           1023.09        
132.75000    -11.00000    0.043           1023.09        
132.83333    -11.00000    0.000           1022.90        
132.83333    -11.00000    0.021           1022.90        
132.91667    -11.00000    0.000           1023.08        
132.91667    -11.00000    0.042           1023.08        
133.00000    -11.00000    0.000           1023.08        
133.00000    -11.00000    0.042           1023.08        
133.08333    -11.00000    0.000           1023.07        
133.08333    -11.00000    0.041           1023.07        
133.16667    -11.00000    0.000           1023.18        
133.16667    -11.00000    0.053           1023.18        
133.25000    -11.00000    0.000           1023.18        
133.25000    -11.00000    0.053           1023.18        
133.33333    -11.00000    0.000           1023.20        
133.33333    -11.00000    0.055           1023.20        
133.41667    -11.00000    0.000           1023.10        
133.41667    -11.00000    0.044           1023.10        
133.50000    -11.00000    0.000           1023.10        
133.50000    -11.00000    0.044           1023.10        
133.58333    -11.00000    0.000           1023.13        
133.58333    -11.00000    0.048           1023.13        
133.66667    -11.00000    0.000           1023.20        
133.66667    -11.00000    0.055           1023.20        
133.75000    -11.00000    0.000           1023.20        
133.75000    -11.00000    0.055           1023.20        
133.83333    -11.00000    0.000           1023.18        
133.83333    -11.00000    0.053           1023.18        
133.91667    -11.00000    0.000           1023.25        
133.91667    -11.00000    0.060           1023.25        
134.00000    -11.00000    0.000           1023.25        
134.00000    -11.00000    0.060           1023.25        
118.00000    -10.91667    0.000           1036.66        
118.00000    -10.91667    1.326           1036.66        
118.00000    -10.91667    2.651           1036.66        
118.00000    -10.91667    3.977           1036.66        
118.08333    -10.91667    0.000           1036.06        
118.08333    -10.91667    1.241           1036.06        
118.08333    -10.91667    2.482           1036.06        
118.08333    -10.91667    3.722           1036.06        
118.16667    -10.91667    0.000           1036.05        
118.16667    -10.91667    1.228           1036.05        
118.16667    -10.91667    2.456           1036.05        
118.16667    -10.91667    3.684           1036.05        
118.25000    -10.91667    0.000           1035.69        
118.25000    -10.91667    1.188           1035.69        
118.25000    -10.91667    2.375           1035.69        
118.25000    -10.91667    3.563           1035.69        
118.33333    -10.91667    0.000           1035.93        
