longitude	latitude	depth
121.87500	-2.12500	489.91083
121.95833	-2.12500	805.79462
122.04167	-2.12500	921.85419
122.12500	-2.12500	1013.80365
122.20833	-2.12500	1062.46106
122.29167	-2.12500	883.65137
122.37500	-2.12500	766.81287
122.45833	-2.12500	854.53845
122.54167	-2.12500	1058.91528
122.62500	-2.12500	958.56506
122.70833	-2.12500	1031.22583
122.79167	-2.12500	630.01953
122.87500	-2.12500	144.35095
122.95833	-2.12500	160.62489
123.04167	-2.12500	244.88712
123.12500	-2.12500	303.09183
123.20833	-2.12500	56.20814
123.29167	-2.12500	53.40076
123.37500	-2.12500	182.76924
123.45833	-2.12500	88.21900
123.54167	-2.12500	66.59559
123.62500	-2.12500	23.73181
123.70833	-2.12500	75.86717
123.79167	-2.12500	127.67904
123.87500	-2.12500	144.48557
123.95833	-2.12500	130.02257
124.04167	-2.12500	641.90790
124.12500	-2.12500	1377.84619
124.20833	-2.12500	1013.40106
124.29167	-2.12500	993.29663
124.37500	-2.12500	685.29401
124.45833	-2.12500	483.40115
124.54167	-2.12500	821.63214
124.62500	-2.12500	1557.44092
124.70833	-2.12500	1726.84485
124.79167	-2.12500	1697.76379
124.87500	-2.12500	1841.48657
124.95833	-2.12500	1607.31580
125.04167	-2.12500	1583.77380
125.12500	-2.12500	1814.99878
125.20833	-2.12500	2339.41113
125.29167	-2.12500	2632.94678
125.37500	-2.12500	2428.84131
125.45833	-2.12500	2278.11475
125.54167	-2.12500	2478.65991
125.62500	-2.12500	2699.69019
125.70833	-2.12500	2446.41211
125.79167	-2.12500	1199.26501
125.87500	-2.12500	0.00000
125.95833	-2.12500	0.00000
126.04167	-2.12500	765.90155
126.12500	-2.12500	2174.78516
126.20833	-2.12500	2404.43726
126.29167	-2.12500	2162.99658
126.37500	-2.12500	1959.68469
126.45833	-2.12500	1798.43665
126.54167	-2.12500	1579.16211
126.62500	-2.12500	1735.02893
126.70833	-2.12500	1847.82886
126.79167	-2.12500	1771.67371
126.87500	-2.12500	1859.75659
126.95833	-2.12500	2167.15161
127.04167	-2.12500	1915.34668
127.12500	-2.12500	1944.06189
127.20833	-2.12500	2204.68237
127.29167	-2.12500	2470.42651
127.37500	-2.12500	3038.62842
127.45833	-2.12500	2772.48584
127.54167	-2.12500	2736.38794
127.62500	-2.12500	3446.11621
127.70833	-2.12500	3461.09155
127.79167	-2.12500	3550.67700
127.87500	-2.12500	3670.76440
127.95833	-2.12500	3650.90137
128.04167	-2.12500	3740.73877
128.12500	-2.12500	3819.77783
128.20833	-2.12500	3835.14600
128.29167	-2.12500	3719.26392
128.37500	-2.12500	3409.13867
128.45833	-2.12500	3166.17798
128.54167	-2.12500	2463.31055
128.62500	-2.12500	2038.56885
128.70833	-2.12500	1442.68213
128.79167	-2.12500	970.03827
128.87500	-2.12500	891.99438
128.95833	-2.12500	940.81470
129.04167	-2.12500	928.33679
129.12500	-2.12500	783.13989
129.20833	-2.12500	704.80554
129.29167	-2.12500	707.63037
129.37500	-2.12500	448.20248
129.45833	-2.12500	233.80382
129.54167	-2.12500	106.30832
129.62500	-2.12500	244.56123
129.70833	-2.12500	250.11414
129.79167	-2.12500	173.33794
129.87500	-2.12500	171.62975
129.95833	-2.12500	155.05748
130.04167	-2.12500	118.40109
130.12500	-2.12500	81.21238
130.20833	-2.12500	50.24716
130.29167	-2.12500	45.96368
130.37500	-2.12500	36.50875
130.45833	-2.12500	25.01842
130.54167	-2.12500	52.59923
130.62500	-2.12500	68.75994
130.70833	-2.12500	67.73243
130.79167	-2.12500	64.35862
130.87500	-2.12500	47.88596
130.95833	-2.12500	60.25965
131.04167	-2.12500	67.04223
131.12500	-2.12500	64.05458
131.20833	-2.12500	60.72552
131.29167	-2.12500	54.76855
131.37500	-2.12500	55.76504
131.45833	-2.12500	50.72046
131.54167	-2.12500	47.75416
131.62500	-2.12500	30.15870
131.70833	-2.12500	23.58458
131.79167	-2.12500	20.02504
131.87500	-2.12500	26.67808
131.95833	-2.12500	19.52856
132.04167	-2.12500	3.12021
132.12500	-2.12500	0.00000
132.20833	-2.12500	0.00000
132.29167	-2.12500	0.00000
132.37500	-2.12500	0.00000
132.45833	-2.12500	0.00000
132.54167	-2.12500	0.00000
132.62500	-2.12500	0.00000
132.70833	-2.12500	0.00000
132.79167	-2.12500	0.00000
132.87500	-2.12500	0.00000
132.95833	-2.12500	0.00000
133.04167	-2.12500	0.00000
133.12500	-2.12500	0.00000
133.20833	-2.12500	0.00000
133.29167	-2.12500	0.00000
133.37500	-2.12500	0.00000
133.45833	-2.12500	0.00000
133.54167	-2.12500	0.00000
133.62500	-2.12500	0.00000
133.70833	-2.12500	0.00000
133.79167	-2.12500	0.00000
133.87500	-2.12500	0.00000
133.95833	-2.12500	0.00000
118.04167	-2.20833	2076.88428
118.12500	-2.20833	2225.63330
118.20833	-2.20833	2204.64331
118.29167	-2.20833	2182.97046
118.37500	-2.20833	2216.65454
118.45833	-2.20833	2118.10620
118.54167	-2.20833	1889.50623
118.62500	-2.20833	1833.58911
118.70833	-2.20833	1784.03748
118.79167	-2.20833	1715.05371
118.87500	-2.20833	1615.81677
118.95833	-2.20833	1481.85315
119.04167	-2.20833	1175.00525
119.12500	-2.20833	297.58441
119.20833	-2.20833	0.00000
119.29167	-2.20833	0.00000
119.37500	-2.20833	0.00000
119.45833	-2.20833	0.00000
119.54167	-2.20833	0.00000
119.62500	-2.20833	0.00000
119.70833	-2.20833	0.00000
119.79167	-2.20833	0.00000
119.87500	-2.20833	0.00000
119.95833	-2.20833	0.00000
120.04167	-2.20833	0.00000
120.12500	-2.20833	0.00000
120.20833	-2.20833	0.00000
120.29167	-2.20833	0.00000
120.37500	-2.20833	0.00000
120.45833	-2.20833	0.00000
120.54167	-2.20833	0.00000
120.62500	-2.20833	0.00000
120.70833	-2.20833	0.00000
120.79167	-2.20833	0.00000
120.87500	-2.20833	0.00000
120.95833	-2.20833	0.00000
121.04167	-2.20833	0.00000
121.12500	-2.20833	0.00000
121.20833	-2.20833	0.00000
121.29167	-2.20833	0.00000
121.37500	-2.20833	0.00000
121.45833	-2.20833	0.00000
121.54167	-2.20833	0.00000
121.62500	-2.20833	0.00000
121.70833	-2.20833	0.00000
121.79167	-2.20833	90.98161
121.87500	-2.20833	454.53516
121.95833	-2.20833	760.32080
122.04167	-2.20833	1003.86115
122.12500	-2.20833	1052.33350
122.20833	-2.20833	1027.24731
122.29167	-2.20833	923.98694
122.37500	-2.20833	809.54401
122.45833	-2.20833	875.06635
122.54167	-2.20833	1016.02570
122.62500	-2.20833	886.55847
122.70833	-2.20833	1062.59790
122.79167	-2.20833	824.10577
122.87500	-2.20833	372.67963
122.95833	-2.20833	153.15816
123.04167	-2.20833	784.47601
123.12500	-2.20833	249.58279
123.20833	-2.20833	400.30875
123.29167	-2.20833	1228.75061
123.37500	-2.20833	546.72620
123.45833	-2.20833	46.05464
123.54167	-2.20833	333.09338
123.62500	-2.20833	504.11975
123.70833	-2.20833	739.72467
123.79167	-2.20833	1490.68933
123.87500	-2.20833	1537.70642
123.95833	-2.20833	1441.48230
124.04167	-2.20833	1589.14709
124.12500	-2.20833	2066.16260
124.20833	-2.20833	2510.13770
124.29167	-2.20833	1852.96106
124.37500	-2.20833	1682.43237
124.45833	-2.20833	1305.77002
124.54167	-2.20833	1148.10376
124.62500	-2.20833	1969.13013
124.70833	-2.20833	2235.05737
124.79167	-2.20833	2153.67969
124.87500	-2.20833	2097.56909
124.95833	-2.20833	1937.24500
125.04167	-2.20833	2104.69556
125.12500	-2.20833	2610.44727
125.20833	-2.20833	3276.17310
125.29167	-2.20833	3584.89111
125.37500	-2.20833	3851.74634
125.45833	-2.20833	3990.76587
125.54167	-2.20833	4477.67529
125.62500	-2.20833	4534.40137
125.70833	-2.20833	4247.91895
125.79167	-2.20833	2379.76685
125.87500	-2.20833	361.24625
125.95833	-2.20833	0.00000
126.04167	-2.20833	582.41296
126.12500	-2.20833	2452.36279
126.20833	-2.20833	3138.84277
126.29167	-2.20833	2871.42310
126.37500	-2.20833	2520.98975
126.45833	-2.20833	2351.41650
126.54167	-2.20833	2383.54810
126.62500	-2.20833	2760.85986
126.70833	-2.20833	2712.34741
126.79167	-2.20833	2401.60425
126.87500	-2.20833	2514.38501
126.95833	-2.20833	2823.33228
127.04167	-2.20833	2775.44507
127.12500	-2.20833	2375.11694
127.20833	-2.20833	2315.42847
127.29167	-2.20833	2687.74365
127.37500	-2.20833	2872.10498
127.45833	-2.20833	2908.73218
127.54167	-2.20833	2964.96582
127.62500	-2.20833	3308.72998
127.70833	-2.20833	3195.69922
127.79167	-2.20833	3252.35913
127.87500	-2.20833	3577.94043
127.95833	-2.20833	3638.52148
128.04167	-2.20833	3723.08643
128.12500	-2.20833	3852.10059
128.20833	-2.20833	3801.78442
128.29167	-2.20833	3740.22070
128.37500	-2.20833	3231.58813
128.45833	-2.20833	2838.35767
128.54167	-2.20833	2202.76685
128.62500	-2.20833	1988.29077
128.70833	-2.20833	1648.55164
128.79167	-2.20833	1401.77075
128.87500	-2.20833	1281.10461
128.95833	-2.20833	1109.72083
129.04167	-2.20833	843.86029
129.12500	-2.20833	510.85727
129.20833	-2.20833	581.97791
129.29167	-2.20833	924.62555
129.37500	-2.20833	883.55530
129.45833	-2.20833	686.91803
129.54167	-2.20833	610.14203
129.62500	-2.20833	606.05298
129.70833	-2.20833	531.13336
129.79167	-2.20833	326.37161
129.87500	-2.20833	378.97995
129.95833	-2.20833	337.07544
130.04167	-2.20833	220.72008
130.12500	-2.20833	121.79726
130.20833	-2.20833	78.27175
130.29167	-2.20833	32.18102
130.37500	-2.20833	84.88238
130.45833	-2.20833	49.85286
130.54167	-2.20833	51.39648
130.62500	-2.20833	47.57206
130.70833	-2.20833	80.73338
130.79167	-2.20833	76.75306
130.87500	-2.20833	83.84022
130.95833	-2.20833	85.19080
131.04167	-2.20833	83.17080
131.12500	-2.20833	81.03547
131.20833	-2.20833	74.17082
131.29167	-2.20833	66.10253
131.37500	-2.20833	62.32657
131.45833	-2.20833	60.00351
131.54167	-2.20833	50.33176
131.62500	-2.20833	38.34739
131.70833	-2.20833	35.95188
131.79167	-2.20833	41.87778
131.87500	-2.20833	33.12782
131.95833	-2.20833	24.23176
132.04167	-2.20833	15.44650
132.12500	-2.20833	9.19426
132.20833	-2.20833	0.87242
132.29167	-2.20833	0.00000
132.37500	-2.20833	0.00000
132.45833	-2.20833	0.00000
132.54167	-2.20833	0.00000
132.62500	-2.20833	0.00000
132.70833	-2.20833	0.00000
132.79167	-2.20833	0.00000
132.87500	-2.20833	0.00000
132.95833	-2.20833	0.00000
133.04167	-2.20833	0.00000
133.12500	-2.20833	0.00000
133.20833	-2.20833	0.00000
133.29167	-2.20833	0.00000
133.37500	-2.20833	0.00000
133.45833	-2.20833	0.00000
133.54167	-2.20833	0.00000
