lon,lat,faa_mGal,depth,KoreksigB,DeltaGB_mGal
131.125,-2.125,45.0267,-64.06,-4.4055167120706615,49.43221671207066
131.2083,-2.125,45.3766,-60.73,-4.176506867375136,49.55310686737514
131.2917,-2.125,48.968,-54.77,-3.7666273855777415,52.734627385577745
131.375,-2.125,52.17,-55.76,-3.8347113934601946,56.0047113934602
131.4583,-2.125,52.7661,-50.72,-3.488101898785887,56.25420189878589
131.5417,-2.125,60.5983,-47.75,-3.2838498751385274,63.88214987513853
131.625,-2.125,62.7933,-30.16,-2.074155230035141,64.86745523003515
131.7083,-2.125,64.0201,-23.58,-1.6216372786547952,65.6417372786548
131.7917,-2.125,61.6084,-20.02,-1.3768099371784988,62.9852099371785
131.875,-2.125,60.4032,-26.68,-1.8348296265695478,62.23802962656955
131.9583,-2.125,58.4215,-19.53,-1.3431117918629412,59.76461179186294
132.0417,-2.125,53.4021,-3.12,-0.2145677824174284,53.61666778241742
118.0417,-2.2083,-35.3589,-2076.88,-142.83062049586817,107.47172049586817
118.125,-2.2083,-42.3681,-2225.63,-153.0604146095196,110.6923146095196
118.2083,-2.2083,-41.9736,-2204.64,-151.61689609896132,109.64329609896132
118.2917,-2.2083,-37.8079,-2182.97,-150.12661281531206,112.31871281531207
118.375,-2.2083,-36.2212,-2216.65,-152.44284451781817,116.22164451781816
118.4583,-2.2083,-27.0116,-2118.11,-145.66607872313438,118.65447872313437
118.5417,-2.2083,-11.836,-1889.51,-129.9448623575497,118.10886235754971
118.625,-2.2083,-10.8799,-1833.59,-126.09914748806811,115.2192474880681
118.7083,-2.2083,-13.4567,-1784.04,-122.69150850768877,109.23480850768877
118.7917,-2.2083,-24.2562,-1715.05,-117.94694719070851,93.69074719070852
118.875,-2.2083,-34.0691,-1615.82,-111.12272890568241,77.05362890568242
118.9583,-2.2083,-42.4481,-1481.85,-101.90938088950841,59.461280889508416
119.0417,-2.2083,-40.2643,-1175.01,-80.80746474945595,40.54316474945595
119.125,-2.2083,10.1872,-297.58,-20.46508996531357,30.65228996531357
121.7917,-2.2083,7.2229,-90.98,-6.256851552672319,13.479751552672319
121.875,-2.2083,-16.3954,-454.54,-31.259499942313433,14.864099942313434
121.9583,-2.2083,-32.1778,-760.32,-52.28851805372409,20.110718053724092
122.0417,-2.2083,-37.7867,-1003.86,-69.03718399280758,31.25048399280758
122.125,-2.2083,-29.6058,-1052.33,-72.37054951004244,42.764749510042435
122.2083,-2.2083,-23.7528,-1027.25,-70.64575464368696,46.892954643686956
122.2917,-2.2083,-10.1484,-923.99,-63.544386306371685,53.39598630637168
122.375,-2.2083,3.4246,-809.54,-55.67346236480928,59.09806236480928
122.4583,-2.2083,11.2999,-875.07,-60.180073512826624,71.47997351282662
122.5417,-2.2083,13.3924,-1016.03,-69.87413588768582,83.26653588768582
122.625,-2.2083,37.2539,-886.56,-60.97026063461388,98.22416063461388
122.7083,-2.2083,36.9974,-1062.6,-73.07683512716648,110.07423512716647
122.7917,-2.2083,48.5038,-824.11,-56.675466400008624,105.17926640000863
122.875,-2.2083,75.2582,-372.68,-25.629846522861286,100.88804652286129
122.9583,-2.2083,81.5632,-153.16,-10.533077421491452,92.09627742149145
