lon,lat,faa_mGal,depth,KoreksigB,DeltaGB_mGal
118.7917,-2.125,-16.8697,-1702.46,-117.08111117127409,100.21141117127408
118.875,-2.125,-26.6929,-1640.01,-112.78631693666883,86.09341693666883
118.9583,-2.125,-35.8586,-1578.32,-108.54378921316524,72.68518921316524
119.0417,-2.125,-34.4101,-1371.18,-94.29841406895176,59.88831406895176
119.125,-2.125,0.627,-648.09,-44.57026734195871,45.197267341958714
119.2083,-2.125,39.9469,-15.48,-1.064586305071087,41.01148630507109
121.5417,-2.125,-2.5005,-0.65,-0.04470162133696425,-2.4557983786630357
121.625,-2.125,29.731,-19.31,-1.327982012333507,31.05898201233351
121.7083,-2.125,19.231,-27.9,-1.918731131232773,21.149731131232773
121.7917,-2.125,6.7362,-180.25,-12.396103455365855,19.132303455365857
121.875,-2.125,-14.6448,-489.91,-33.69195586029562,19.04715586029562
121.9583,-2.125,-28.843,-805.79,-55.41556839555757,26.57256839555757
122.0417,-2.125,-33.2532,-921.85,-63.397214814585375,30.144014814585375
122.125,-2.125,-34.3363,-1013.8,-69.72077494063747,35.38447494063747
122.2083,-2.125,-29.7651,-1062.46,-73.06720708564775,43.30210708564775
122.2917,-2.125,-9.8011,-883.65,-60.770134914474546,50.96903491447455
122.375,-2.125,6.8995,-766.81,-52.73484654984239,59.63434654984239
122.4583,-2.125,8.8982,-854.54,-58.768189995829886,67.66638999582989
122.5417,-2.125,10.4142,-1058.92,-72.82375517867413,83.23795517867413
122.625,-2.125,22.0725,-958.56,-65.92182484424684,87.99432484424685
122.7083,-2.125,27.9126,-1031.23,-70.91946610971945,98.83206610971945
122.7917,-2.125,52.0875,-630.02,-43.3275622687911,95.4150622687911
122.875,-2.125,82.8924,-144.35,-9.927198523062753,92.81959852306275
122.9583,-2.125,84.9577,-160.62,-11.046114490989535,96.00381449098954
123.0417,-2.125,67.2928,-244.89,-16.841507768014115,84.13430776801411
123.125,-2.125,66.127,-303.09,-20.84402217080076,86.97102217080075
123.2083,-2.125,88.4542,-56.21,-3.8656586697704007,92.3198586697704
123.2917,-2.125,87.8059,-53.4,-3.672410122144447,91.47831012214444
123.375,-2.125,85.1331,-182.77,-12.56940820270301,97.702508202703
123.4583,-2.125,105.4104,-88.22,-6.067041591303055,111.47744159130305
123.5417,-2.125,118.225,-66.6,-4.5801968939104905,122.80519689391049
123.625,-2.125,124.7608,-23.73,-1.631953037424864,126.39275303742487
123.7083,-2.125,104.8668,-75.87,-5.217710785900735,110.08451078590073
123.7917,-2.125,120.2533,-127.68,-8.780773865082455,129.03407386508246
123.875,-2.125,101.2293,-144.49,-9.936826564581484,111.16612656458148
123.9583,-2.125,113.1321,-130.02,-8.941699701895526,122.07379970189552
124.0417,-2.125,98.2859,-641.91,-44.145258080631876,142.43115808063186
124.125,-2.125,84.2987,-1377.85,-94.75712147559413,179.05582147559414
124.2083,-2.125,100.1002,-1013.4,-69.69326625058395,169.79346625058395
124.2917,-2.125,89.8144,-993.3,-68.31095457539475,158.12535457539474
124.375,-2.125,96.2816,-685.29,-47.12857551693573,143.41017551693574
124.4583,-2.125,112.5744,-483.4,-33.24425192967464,145.81865192967464
124.5417,-2.125,84.4068,-821.63,-56.50491252167682,140.91171252167683
124.625,-2.125,59.5624,-1557.44,-107.1078355923717,166.67023559237168
124.7083,-2.125,68.4661,-1726.84,-118.75776583003591,187.2238658300359
124.7917,-2.125,81.2449,-1697.76,-116.75788406314527,198.00278406314527
124.875,-2.125,96.0572,-1841.49,-126.64244411662507,222.69964411662505
124.9583,-2.125,115.0441,-1607.32,-110.53816924204519,225.5822692420452
125.0417,-2.125,113.3528,-1583.77,-108.91859511514441,222.2713951151444
125.125,-2.125,92.3825,-1815.0,-124.82068111783094,217.20318111783092
125.2083,-2.125,80.6675,-2339.41,-160.88526149524233,241.55276149524235
125.2917,-2.125,70.5452,-2632.95,-181.0725136910154,251.61771369101538
125.375,-2.125,84.9311,-2428.84,-167.0355168739573,251.96661687395732
125.4583,-2.125,93.9509,-2278.11,-156.66955474454096,250.62045474454095
125.5417,-2.125,95.0516,-2478.66,-170.46172422012276,265.51332422012274
125.625,-2.125,99.877,-2699.69,-185.66233862644464,285.53933862644465
125.7083,-2.125,105.018,-2446.41,-168.243836084558,273.261836084558
125.7917,-2.125,178.7618,-1199.27,-82.47586680120172,261.2376668012017
126.0417,-2.125,205.4808,-765.9,-52.67226427997064,258.15306427997064
126.125,-2.125,133.0494,-2174.78,-149.56337238646634,282.6127723864663
126.2083,-2.125,105.2003,-2404.44,-165.3574867806928,270.5577867806928
126.2917,-2.125,112.8066,-2163.0,-148.75324146439027,261.5598414643903
126.375,-2.125,123.3496,-1959.69,-134.77126202743918,258.12086202743916
126.4583,-2.125,130.9658,-1798.44,-123.68182134961536,254.64762134961535
126.5417,-2.125,141.3574,-1579.16,-108.60155746227764,249.95895746227765
126.625,-2.125,130.3387,-1735.03,-119.32100625888165,249.65970625888164
126.7083,-2.125,124.6089,-1847.83,-127.0784568539733,251.6873568539733
126.7917,-2.125,119.9153,-1771.67,-121.84080226778377,241.75610226778377
126.875,-2.125,121.7646,-1859.76,-127.89890353481942,249.66350353481943
126.9583,-2.125,99.6236,-2167.15,-149.0386441236955,248.66224412369547
127.0417,-2.125,100.5937,-1915.35,-131.72192373500687,232.31562373500685
127.125,-2.125,105.5249,-1944.06,-133.696359963598,239.22125996359802
