Longitude,Latitude,Gravity_mGal,Normal_Gravity_mGal,Height_m,KoreksigF,DeltaGF_mGal,KoreksigB,DeltaGB_mGal
118.2083,-8.4583,978110.2833,978143.139,597.9,184.51193999999998,151.65624000004357,66.94311012287089,84.71312987717268
118.2083,-8.375,978174.75,978140.9752,372.1,114.83006,148.6048600000138,41.66170141615699,106.9431585838568
118.2083,-8.2917,978174.75,978140.9752,60.89,18.790654,52.56545400001379,6.817471107846812,45.747982892166974
118.2083,-8.2083,978178.7333,978136.7104,-3.25,-1.00295,41.01994999998175,-0.3638821005173615,41.383832100499106
118.2083,-8.125,978178.7333,978136.7104,-3.24,-0.999864,41.023035999981744,-0.36276246328500034,41.385798463266745
118.2083,-8.0417,978133.0833,978134.6094,-3.24,-0.999864,-2.5259639999009074,-0.36276246328500034,-2.163201536615907
118.2917,-8.9583,978171.2667,978156.5597,-3.31,-1.021466,13.685534000053085,-0.37059992391152813,14.056133923964614
118.2917,-8.875,978171.2667,978156.5597,-3.3,-1.0183799999999998,13.688620000053085,-0.369480286679167,14.058100286732252
118.2917,-8.7917,978210.6167,978154.2709,-3.29,-1.015294,55.33050600001006,-0.3683606494468059,55.69886664945687
118.2917,-8.7083,978169.9667,978149.7556,508.79,157.012594,177.2236939999568,56.966022745301025,120.25767125465578
118.2917,-8.625,978184.55,978147.5292,8.78,2.7095079999999996,39.730308000056624,0.9830414900130564,38.747266510043566
118.2917,-8.5417,978184.55,978147.5292,143.52,44.290272,81.31107200005663,16.069033558846684,65.24203844120994
118.2917,-8.4583,978208.3833,978143.139,156.11,48.175546000000004,113.4198460000203,17.478656834389323,95.94118916563097
118.2917,-8.375,978208.3833,978143.139,14.02,4.326572,69.5708720000203,1.569731399770279,68.00114060025003
118.2917,-8.2917,978210.6667,978140.9752,-3.26,-1.006036,68.68546399995716,-0.36500173774972255,69.05046573770689
118.2917,-8.2083,978131.8263,978136.7104,-3.26,-1.006036,-5.890136000024773,-0.36500173774972255,-5.525134262275051
118.2917,-8.125,978131.8263,978136.7104,-3.25,-1.00295,-5.887050000024773,-0.3638821005173615,-5.523167899507412
118.2917,-8.0417,978105.8043,978134.6094,-3.25,-1.00295,-29.808049999997763,-0.3638821005173615,-29.4441678994804
